Metric,Value
Title,Q1 2025 Organic Growth & SEO Report
Start Date,2026-04-18
End Date,2026-05-18
Organic Sessions,12400
Google Impressions,345000
Google Clicks,9850
Average Position,12.4
Click-Through Rate (CTR),2.85
Organic Conversions,310
Organic Revenue,14800
Bounce Rate (Organic),38.2
Pages per Session,2.4
New Organic Users,8900
Keywords in Top 3,45
Keywords in Top 10,185
Keywords in Top 50,620
Total Keywords Tracked,1200
New Keywords Ranking,58
Keywords Lost from Rankings,24
Pages Indexed by Google,340
Crawl Errors Fixed,12
Site Speed Score (Mobile),78
Site Speed Score (Desktop),92
Broken Links Fixed,8
Structured Data Issues,2
Mobile Usability Issues,0
Total Backlinks,4250
New Backlinks Earned,120
Referring Domains,450
Domain Authority (Moz),38
Domain Rating (Ahrefs),42
Lost Backlinks,15
Spam Score,1
